Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration,Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Ozh9Ok6h4Oi1wUSLtBseN,"BOP","KIRK","DaBaby",2019-09-27,159714,72,monsterx120,2024-09-19T03:29:25Z,"hip hop,north carolina hip hop,pop rap,rap,trap","South Coast Music Group/Interscope Records",0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,4
7k4t7uLgtOxPwTpFmtJNTY,"Tusa","Tusa","KAROL G,Nicki Minaj",2019-11-07,200960,74,monsterx120,2024-09-19T03:29:25Z,"reggaeton,reggaeton colombiano,urbano latino,hip pop,pop,queens hip hop,rap","TUSA - Karol G & Nicki Minaj",0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4
1YA4Jn5uE82zSUUW17hnsP,"Whip It","AMAR (Deluxe)","BigXthaPlug",2023-04-28,137716,73,monsterx120,2024-09-19T03:29:25Z,"southern hip hop","BigXthaPlug under exclusive license to UnitedMasters LLC",0.93,0.665,9,-9.343,1,0.349,0.131,0,0.0942,0.828,132.89,4
2F91gzFzuZcfX5NwU34cZw,"Wicked feat. Mori Calliope","TEMPLATE／Wicked feat. Mori Calliope","Hoshimachi Suisei,Mori Calliope",2022-04-01,173854,50,monsterx120,2024-09-19T03:29:25Z,"japanese vtuber","cover corp.",0.629,0.981,9,-0.753,0,0.26,0.021,0.00000347,0.284,0.754,154.978,4
1dDWRjSdiaWS0zxQoCFyyB,"PARTY OF YOUR LIFETIME","PARTY OF YOUR LIFETIME","On-lyne,Matthew Chalmers,Keith Power,Arnold Tongol,Juvon Taylor,Jaemin Kim,Jacob Critch",2024-07-21,216080,53,monsterx120,2024-09-19T03:29:25Z,"video game music","Digital Extremes Ltd.",0.665,0.966,10,-5.822,0,0.0556,0.0498,0,0.109,0.752,111.991,4
6ORqU0bHbVCRjXm9AjyHyZ,"Good Riddance (Time of Your Life)","Nimrod","Green Day",1997-10-14,153466,83,monsterx120,2024-09-19T03:29:25Z,"modern rock,permanent wave,punk,rock","Reprise",0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,4
25U7raB3ZSszayTYClh4hF,"Somewhere Over The Rainbow_What A Wonderful World","Facing Future","Israel Kamakawiwo'ole",1993-11-01,308026,70,monsterx120,2024-09-19T03:29:25Z,"hawaiian","Big Boy Records",0.663,0.168,0,-13.725,1,0.0448,0.928,0.0000568,0.361,0.678,85.005,4
492ceDtqmafb6QD1Xfhpmo,"Like a Prayer - Choir Version From “Deadpool & Wolverine”","Deadpool & Wolverine: Madonna's Like a Prayer EP","I'll Take You There Choir",2024-08-09,152893,78,monsterx120,2024-09-19T03:29:25Z,"","Warner Records",0.244,0.273,2,-13.875,0,0.0351,0.848,0.499,0.124,0.104,116.076,4
1xSDXrcZ16nKUZGsOckUTW,"Like a Prayer - Battle Royale Mix from “Deadpool & Wolverine”","Deadpool & Wolverine: Madonna's Like a Prayer EP","Madonna,Rob Simonsen",2024-08-09,168586,69,monsterx120,2024-09-19T03:29:25Z,"dance pop,pop,soundtrack","Warner Records",0.317,0.606,2,-10.073,0,0.0411,0.146,0.000069,0.0772,0.118,116.01,4
0apQVuKL33S64ivuHUQrQ3,"Like a Prayer","Deadpool & Wolverine: Madonna's Like a Prayer EP","Madonna",2024-08-09,340866,57,monsterx120,2024-09-19T03:29:25Z,"dance pop,pop","Warner Records",0.661,0.629,5,-12.359,1,0.0386,0.434,0.0000759,0.172,0.324,111.935,4
62bOmKYxYg7dhrC6gH9vFn,"Bye Bye Bye - From Deadpool and Wolverine Soundtrack","No Strings Attached","*NSYNC",2000-03-21,200400,90,monsterx120,2024-09-19T03:29:25Z,"boy band,dance pop,pop","Jive",0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,4
5YciOakY5dB5dULkiLdCaf,"Stop Crying Your Heart Out","Heathen Chemistry","Oasis",2002-02-03,303133,75,monsterx120,2024-09-19T03:29:25Z,"beatlesque,britpop,madchester,permanent wave,rock","Big Brother",0.38,0.572,2,-5.334,1,0.03,0.0768,0.0000024,0.0776,0.0878,74.987,4
5QDLhrAOJJdNAmCTJ8xMyW,"Dynamite","BE","BTS",2020-11-20,199053,79,monsterx120,2024-09-19T03:29:25Z,"k-pop,k-pop boy group,pop","BIGHIT MUSIC",0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4
1mWdTewIgB3gtBM3TOSFhB,"Butter","Butter (Hotter, Sweeter, Cooler)","BTS",2021-06-04,164441,67,monsterx120,2024-09-19T03:29:25Z,"k-pop,k-pop boy group,pop","BIGHIT MUSIC",0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,4
6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,93,monsterx120,2024-09-19T03:29:25Z,"conscious hip hop,hip hop,rap,west coast rap","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
